assertion	value	provenance
source	7eab04905dbc274ae6d2546b6802f1097c1fc3fe	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
preview_sha256	d05cdd656b57777b8669f96d03cc492c20c35e25493ebdddf5639d88c114a659	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
previous_plan_hash	0x3bd2e4ea748c73df475937b81b722c4dd3306fb83ce6e5f29ef3444e0e8abd95	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
stable_plan_hash	0x2b5527989bd2ca38b58d3046e82f2d7fdb5ab1b5b86f3af74ba58e5957ced95d	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
action_count	3521	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
all_action_ids_preserved	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
completed_renewals_preserved	1212	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
renewal_descriptor_unchanged	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
changed_intent_id_count	9	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
original_native_intents_unchanged	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
repair_intent_unchanged	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
probe_journal_hash	0x687304abd6fa254082ad077ee96807e0ef77a78f0cee1bba9a765ef8b54d1101	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
tao_cap_rao	200000000000	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
alpha_cap_rao	37250000000000	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
evm_gas_cap_wei	180000000000000000000	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
registration_cap	262	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
subnet_creation_cap	0	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
repair_action	alpha.repair.validator.1.7	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
repair_intent_hash	0xb6152bd0f270076c274704c90a4c676d29ae7554fdd16c671046a8f63ce52480	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
repair_source_floor_alpha_rao	2000000000000	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
all_six_state_files_unchanged_after_preview	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
all_action_intents_equal_prior_reviewed_preview	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
all_spend_objects_equal_prior_reviewed_preview	true	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
signed_anchor_hash	0xeb101aeb317fee5b3f27c44540b63c4f4eeb46882ead59654e36b37dd57f22f9	native-setup-preview-7eab/REVIEW.json sha256:27bbb335483781f120816c50e4664c9c8fbf60b798b5deda4f788b3bd98cfdcd
