limit	value	provenance
plan_action_count	3521	closed reviewed setup-preview assertion
completed_renewals_preserved	1212	closed reviewed setup-preview assertion
tao_cap_rao	200000000000	closed reviewed setup-preview assertion
alpha_cap_rao	37250000000000	closed reviewed setup-preview assertion
evm_gas_cap_wei	180000000000000000000	closed reviewed setup-preview assertion
registration_cap	262	closed reviewed setup-preview assertion
subnet_creation_cap	0	closed reviewed setup-preview assertion
repair_source_floor_alpha_rao	2000000000000	closed reviewed setup-preview assertion
maximum_spend_equal_review	true	closed failed-apply admission comparison
superseded_spend_equal_review	true	closed failed-apply admission comparison
limits_equal_review	true	closed failed-apply admission comparison
