field	value	provenance
batched_historical_audit	1000/1000	closed RESULT.json
last_carried_progress_marker	2450/3455	closed RESULT.json
failure_action	fleet.renew.1.34.bind.2	closed RESULT.json
plan_changed	true	closed RESULT.json
redacted_config_changed	true	closed RESULT.json
changes_scope	Plan/config admission only	closed RESULT.json
journal_unchanged	true	closed RESULT.json
supervisor_state_unchanged	true	closed RESULT.json
supervisor_config_unchanged	true	closed RESULT.json
public_identities_unchanged	true	closed RESULT.json
journal_last_sequence	16318	closed RESULT.json
new_journal_rows	0	closed RESULT.json
new_transactions	0	closed root refusal closure
repair_submitted	false	closed RESULT.json
