repo	root	manifest
sn	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/sn	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/sn-e99954a.source.manifest
server	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/server	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/server.v2.source.manifest
operator-proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/operator-proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/operator-proxy.v2.source.manifest
connect	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/connect	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/connect.v2.source.manifest
sdk	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/sdk	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/sdk.v2.source.manifest
glog	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/glog	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/glog.v2.source.manifest
goidenticons	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/goidenticons	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/goidenticons.v2.source.manifest
proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/proxy.v2.source.manifest
userwireguard	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/userwireguard	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/userwireguard.v2.source.manifest
vault	/home/by/urnetwork/vault	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/vault.v2.source.manifest
xops	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/xops	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/xops-a9d2eb4.source.manifest
config	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/config	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/runtime/custody/config.qualification.source.manifest
