repo	root	head	parent	status_sha256	manifest_sha256
sn	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/sn	e99954acd70bdae9612dd3de2861fbbf39ef8161	90f67b1859368d34b0404870f46819f012712674	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e07e8d2a38672f90c08ae077183b9a0475380d0a7ce8f07047c3ac13df047e71
server	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/server	bbfe42961972372fa3bc97ed73c6d0f0003aaf2e		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	4f480592f3fab6f636fd8993731ee35ace4677f5cb972eda9b8191c2684d0b38
operator-proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/operator-proxy	714f10f06bcc0b02420454310f335a835a0a5aa3		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f04f622cbefeb6fa5a2a5c462337aa05e82b4aedec6a8caf6469dd875de93498
connect	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/connect	3d29e1f444f6a621a3f44f36eae77041d8ede1c8		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8a845a60fae6b7564086eb1afb0756ec385b0a106cca931ffd6040b509451b31
sdk	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/sdk	169d4c2c006661ceeb668f443f1464faecc48ca3		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2791b317e35272c771b9c517ec4b90f58aa1764bcb60cfd14fe9cd84c484764b
glog	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/glog	892ade4a6be396b32ea82a550f243190b5992180		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1c952039433b900066a3189fed1f2de2eccf9ae0e71d297dc26787a4aca2fac7
goidenticons	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/goidenticons	325750b38314313dc5f44c880ab6f12f6c1ecb3c		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a2d90bafd815ef38f787ab8a5d73ebb0f3f560140cc0ae5fc3edfd889e11a777
proxy	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/proxy	c11c7eb4052332a1b2183f001f086a8dddebf031		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	48ad29cce70dc643fed39248bce16d65bcfccdcdf07603219a43d27c3301e520
userwireguard	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/userwireguard	85fb1ca4086fa5dbfcda526bec7a17a894e691b9		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1fe8fdb68cca012d0c4ad4ca2da64b196f9c402964d0474e9ad22a9fbeb2b451
vault	/home/by/urnetwork/vault	d4ea0cbdf49630d8e1afc3e2184858cb58940fd3		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	5774f351b7480b1ff7f4c0c165f7e4ee8939aeb42c4d7875834a02414e914173
xops	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/xops	a9d2eb4bfbdf72d61243908a71659adff0fb8160		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2fa707c3a3396cb3a8ef6af349eb702a690c2c03ba84390f7850783b53454725
config	/home/by/urnetwork/temp/sn-aggregate-supplement-owners-20260913/qualification-e999/workspace-physical/config	268f11b7e7d9c43eda3fd6f34447d26c2f0c21dc		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7e1175b569ce4de60b1c9a2e064e46dc40867a656d8d77537913482b71740749
