field	value
source_head	713eae3fcf83615d81d185fda3f3ec42a441a26b
source_parent	1e491b61a841c652f3155152bf845c519e2c171a
package	github.com/urfoundation/sn/sim-testnet
package_cwd	sn/sim-testnet
normal_binary_sha256	9c3a5b91f8e390fe9a740ed7c5cee910080275eef29659d78a51b93c3205eb17
race_binary_sha256	405e5fe3a82a62d514435679aae051a1d3acd32ff0be74f85ac4306bb86973cc
normal_compiled_root_count	81
race_compiled_root_count	81
normal_list_sha256	38c4195da91f30452299024774e04447b6077a9af8d60bd5a8be331c5ff1ebb1
race_list_sha256	38c4195da91f30452299024774e04447b6077a9af8d60bd5a8be331c5ff1ebb1
normal_race_list_equal	true
source_dependency_pre_post_fences_equal	true
