repository	head	dirty_exit	status_sha256
sn	/home/by/urnetwork/temp/sn-gate-fixture-integration-20260914/sn/.git	713eae3fcf83615d81d185fda3f3ec42a441a26b	0
server	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/server/.git	0f095a639e111f71d231cd6f792a191cbc6b0a69	0
operator-proxy	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/operator-proxy/.git	448369740c70eb2e642bde9d36f3708fe9ad4b5d	0
connect	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/connect/.git	2a0f603e8076224fdab4d9f56e5a0a557ed513d9	0
sdk	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/sdk/.git	0dc2fb0f6f8a7e484e96bbdde09a690ae108dc8b	0
glog	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/glog/.git	892ade4a6be396b32ea82a550f243190b5992180	0
goidenticons	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/goidenticons/.git	325750b38314313dc5f44c880ab6f12f6c1ecb3c	0
proxy	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/proxy/.git	6204ae7df2a9868bbb3a7b61231917a36e4f5c9f	0
userwireguard	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/userwireguard/.git	85fb1ca4086fa5dbfcda526bec7a17a894e691b9	0
vault	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/vault/.git	8b2f481dbe87092d0c1742274712a6f805c1c375	0
xops	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/xops/.git	a9d2eb4bfbdf72d61243908a71659adff0fb8160	0
config	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/config/.git	268f11b7e7d9c43eda3fd6f34447d26c2f0c21dc	0
warp	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/warp/.git	7498864c7cd3605aad3c43eabfab9008ed7f7228	0
