phase	test_root	expected	actual	process	scope
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_archive_trie_cache_mib_is_rendered_as_bytes	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_bootnode_dns_and_tcp_are_proved_inside_container	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_chain_spec_is_checked_after_image_pull	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_conntrack_limits_are_loaded_and_applied	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_data_paths_preserve_the_pinned_image_runtime_owner	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_deployment_requires_chain_head_to_advance	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_deployment_separates_bootstrap_from_full_convergence	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_fluent_bit_is_installed_and_directory_exists_before_config_copy	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_full_host_deployment_preserves_a_running_lightnode	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_full_host_service_refreshes_are_change_driven	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_gateway_binds_and_verifies_every_restricted_management_address	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_gateway_is_installed_before_peer_convergence_gate	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_isolated_lightnode_rollout_fails_closed_and_preserves_archive	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_lightnode_runs_side_by_side_with_archive	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_lightnode_warp_mode_is_proved_behaviorally	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_connectivity_status_requires_proven_probe_exit	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_exposes_only_bounded_subtensor_identity	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_peer_inputs_fail_closed	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_peer_log_classes_are_exact_and_exclusive	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_reproduces_runtime_data_permission_boundary	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_sudo_scope_and_playbook_order_are_fail_closed	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_monitor_helper_worst_case_deadline_precedes_caller	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_nginx_is_installed_before_gateway_config_is_rendered	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_has_no_request_or_connection_throttles	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_keeps_both_restricted_routes	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_read_only_runtime_proofs_execute_in_check_mode	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_shared_ssh_hardening_is_imported	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_testnet_convergence_pins_deployed_runtime_455	PASS	PASS	full29-p1	exact existing module
candidate_full29	test_subtensor_playbook.SubtensorPlaybookTests.test_testnet_pins_network_backend_and_container_dns	PASS	PASS	full29-p1	exact existing module
candidate_focus_p2	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_has_no_request_or_connection_throttles	PASS	PASS	focused-p2	fresh focused confirmation
candidate_focus_p2	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_keeps_both_restricted_routes	PASS	PASS	focused-p2	fresh focused confirmation
candidate_focus_p3	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_has_no_request_or_connection_throttles	PASS	PASS	focused-p3	fresh focused confirmation
candidate_focus_p3	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_keeps_both_restricted_routes	PASS	PASS	focused-p3	fresh focused confirmation
old_template_causal	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_has_no_request_or_connection_throttles	EXPECTED_FAIL	FAIL	causal-old-template	legacy directives rendered; expected literal retained
old_template_causal	test_subtensor_playbook.SubtensorPlaybookTests.test_owned_rpc_gateway_keeps_both_restricted_routes	PASS	PASS	causal-old-template	route-preservation control
