scope	value
candidate_head	51325d00e18a157b2ceb5d5ac44bb0645550b289
candidate_clean	true
candidate_diff_check	pass
physical_xops_head	a9d2eb4bfbdf72d61243908a71659adff0fb8160
physical_xops_clean	true
physical_xops_mutated_by_qualification	false
nginx_template_sha256	be05ffccae4375c23629fa296bb434c3acba33406b90a843a35a639b81463dc4
vars_sha256	dfa2ccad0b06037922061fdc61062589495571fc4d2f911e75d3ebc1479acd61
playbook_sha256	34c37fbe4e148dc570679e424f313934444ff3a7b80f5f2e203fad229622bd51
readme_sha256	fcca91dfafe856629b795dee3f11f0794c175dab837d227eba0fb9209a95a183
test_sha256	5ebeb0b26de6e20e5e8dae225f8ef198ed2790b48387fd3b3fe82b9263ceac83
