origin_label	sha256	retained_representation
xops source handoff	a31f9b98ad6b069ec8298cf4d889e887cd36fd3438a636292898744e299380b0	derived cause and adjacent mapping
xops expected 29 roots	9c555a0efc01c08802daa1672576712eb393998eda29b362c6585e3d7ef4a035	verbatim exact root list
xops focused roots	730909ba846b5b849996e14ddb4b15c3abec361611d0e3b9e5110933e5168c5f	verbatim exact focused list
xops source hashes	79edb46335930ee047a2e46b369077a99e621af3ea5f4700000755208b373c8c	derived source fence
full29 terminal	638e67a45d2fe638aa6acd6c636bff0e853c7f55e38786912460541d78063009	derived exact outcomes
focused p2 terminal	c4a86ce69adaba70c552eb23b5397e43acde0eacc3c40c91f1e930a8b2c30bae	derived exact outcomes
focused p3 terminal	82dba829171e793d48b81e82bf177afb0c1bd6ca4358bd51d05cbb5d18cdd86c	derived exact outcomes
old-template causal terminal	d9c880e7179503a23bc1c913e90251e4887ceb5e9efc40028f20525e79978449	derived expected 1 FAIL / 1 PASS
rendered candidate nginx artifact	6371976bddf174874083f22897bb072977c5218f7b161a95f1e1c02a13edd453	verbatim source-rendered artifact
initial render-summary note	183c09ba0888faf5cd9068e0ab811143b6b3aae9aa459c6acaef88ba2ff4b7ad	verbatim capture helper incident note
reviewable deployment handoff	4b927e946cb0909e90581fbd813bd522aa3eb4ba47e4d299c78f468c8e35e1b3	derived non-deployment boundary
closed second refusal RESULT.json	2eac58a22dea7aa8d7e42e7f2ba8f39c545cbb4be96134d8f42ba4b84ab30f03	derived terminal fields
closed second refusal raw stderr	56f3b2cac87fe6fae1a91d58f6feb018ad0edd2a580af193e3a59d2af28d743e	derived retained error line only
closed second refusal state.before.sha256	65dc79c9963e5e84b27d1aa7e60bb1726e518930406e7d795b169892e1565ed3	derived six-state comparison
closed second refusal state.after.sha256	65dc79c9963e5e84b27d1aa7e60bb1726e518930406e7d795b169892e1565ed3	derived six-state comparison
