retained_record_label	sha256	bytes	role
HANDOFF.md	29d20e86cd1c07de5c92d6f4924cd1b0ac9d55874b89620cf1cfb7478b4a1508	5856	retained-raw-summarized
capture/artifacts/bac57484-vs-afd7.artifact-comparison.normalized.json	5682cb6a7c30c71b8aae178572297ea0efa8b9a57fce0835c9f26671a8ce5378	73305	retained-raw-summarized
capture/causal-legacy-probe-bac57484/RESULT	fe6dab11a4f9913aa29937c3c852105e0a64813f2b9e4c6e7dbc3a1f650ae8ec	404	result
capture/causal-legacy-probe-bac57484/body/partial-owner-refusal.RESULT	90c7d9b179c5efd82e704311735cfcc692d54bcc069d7a8d8010fbce39e0da6b	263	result
capture/causal-legacy-probe-bac57484/body/zero-self-continuation/RESULT	24acfea25e1232fe66c4000799c05d4592ebbcf974bfab6ac5f6c9ad7b0ec65a	136	result
capture/causal-legacy-probe-bac57484/causal-source.diff	49b68f1ee104964aa695db661688ad1e60871412d8534fce8d6ecc2192c45221	3033	retained-raw-summarized
capture/causal-legacy-route-bac57484/RESULT	c3301c765c81cc76b91da2ec6ad01b336b8d97f7f809abbd375d4a15b6e2d8f8	258	result
capture/causal-legacy-route-bac57484/causal-source.diff	ed03be148872f06854b8d0e01c19c42f6f12d114e9189e3ff4a631557ce2adeb	6030	retained-raw-summarized
capture/fences/runtime455-source-manifest/RESULT	5bfe58a6666de1009c4fef79e529306d404dea3866e54ba9835e5c7a54a3a657	89	result
capture/fences/runtime455-source-manifest/results.tsv	e4f1454ab1452f614df8356647e98802290bf52d86ad3f3bc7531043edaa514f	5763	manifest-membership
capture/generated-source-bac57484/REVIEW	d77278fbdc3c7524e698a780638782323aa58847aebd8ac64a58f2f33e084e14	303	generator-review
capture/generated-source-bac57484/gencontracts-check.exit	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	retained-raw-summarized
capture/generated-source-bac57484/gencontracts-write.exit	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	retained-raw-summarized
capture/generated-source-bac57484/generated-successor.head	162d29e82b14bb02bddcff3cded992559bd7502c88ac44daf2b4955a1f7a2223	41	retained-raw-summarized
capture/generated-source-bac57484/generated-successor.parent	c356a6f5b26e31ecef6bc91ce09696859e638365cd5f8b61721572f6523ebf70	41	retained-raw-summarized
capture/generated-source-bac57484/review.diff	b5fc67a018e8e601c4163729e3c9b950069e226d75c1e63fc45c08a249da0b95	76036	retained-raw-summarized
capture/generated-source-bac57484/stabi-check.exit	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	retained-raw-summarized
capture/generated-source-bac57484/stabi-write.exit	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	2	retained-raw-summarized
capture/generated-source-bac57484/subnet-probe-abi.after	024b74ce9b8f3febe83cd831084d9b0a50b68ce0a309363be58473dc639d65c3	6482	retained-raw-summarized
capture/generated-source-bac57484/subnet-probe-abi.before	024b74ce9b8f3febe83cd831084d9b0a50b68ce0a309363be58473dc639d65c3	6482	retained-raw-summarized
capture/solidity/affected-suites/DeploymentPolicyTest/RESULT	23abdc82a2e7af7cea7d901a5e098e37288a25e93d2a7590a4dac8e552388288	57	result
capture/solidity/affected-suites/GovernanceTest/RESULT	23abdc82a2e7af7cea7d901a5e098e37288a25e93d2a7590a4dac8e552388288	57	result
capture/solidity/affected-suites/HeadBindingTest/RESULT	23abdc82a2e7af7cea7d901a5e098e37288a25e93d2a7590a4dac8e552388288	57	result
capture/solidity/affected-suites/RegistrationTest/RESULT	23abdc82a2e7af7cea7d901a5e098e37288a25e93d2a7590a4dac8e552388288	57	result
capture/solidity/affected-suites/SP1ProbeTest-full/RESULT	dbf0ac05d5744aeae91ae51af9bb42315d89fd4db77f0a3a3add7d19cea5058a	51	result
capture/solidity/affected-suites/STSubnetTest/RESULT	23abdc82a2e7af7cea7d901a5e098e37288a25e93d2a7590a4dac8e552388288	57	result
capture/solidity/bac57484-SP1ProbeTest-full/RESULT	991e82f22ffa4b79ff9332770cf2ce3f852a475635c978980974b9697f3ca2cf	61	result
capture/solidity/bac57484-full-build-sizes/stdout	0bbf7da172080096b697d509b9c0e2f6535c377b9a152fc13bb7d3ed20bd5376	11761	retained-raw-summarized
