record	retained_record_label	original_sha256	copied
source-census-refusal	restore-qualification/inputs/source-census.preflight-1.refusal	7d2692d627574858106a3d85fc1490308c5a5cd2ef8185c807afe26a5203869d	false
list-validation-refusal	restore-qualification/inputs/list-validation-1.refusal	5b311054531b6afe9f198b81d98e428156dbb1c9a2e1ffb22dd346a931cca14f	false
wrong-cwd-contract-refusal	restore-qualification/inputs/body-cwd.refusal	37511953fcaa9d8b5432225715a2c5672e39739c7b1e9bc27f2efc9920e7113c	false
normal-wrong-cwd-events	restore-qualification/normal/events.json	523c34d9c4338b2cdf0062e91d754b06d27c959e7adb334b286bcbb2194f0eac	false
race-wrong-cwd-events	restore-qualification/race/events.json	a7dae2c6fb01e357e7ead77ed27336aa6546337c8bdd651cce0756f14efa8b55	false
normal-uncredited-events	restore-qualification/normal/corrected-1/events.json	dd53ef3d8241c649ff20c5d2b40163f55e197a430016fcfac6860d039f3a3c0a	false
race-uncredited-events	restore-qualification/race/corrected-1/events.json	6e48de604edf1d2427ac384a09d55ca3b2597c23b2ec18474848de864aff3f77	false
event-admission-normal-refusal	restore-qualification/normal/corrected-1/event-admission.refusal	e862ebb26a4f50a5db9463390cd07832adb87d3dc576bf2f4c62f51cc792bfa2	false
event-admission-race-refusal	restore-qualification/race/corrected-1/event-admission.refusal	e862ebb26a4f50a5db9463390cd07832adb87d3dc576bf2f4c62f51cc792bfa2	false
confirmation-preflight-refusal	restore-qualification/inputs/confirmation-preflight-1.refusal	38b0dbb187f0e24779b4ff3e5e6061ef798ac8f1a0468b8dd4c9a00bbde094b7	false
corrected-normal-events	restore-qualification/normal/corrected-2/events.json	e007046d8ea51a2f55011ab6089c6c7fe53c35567cfe8fd64ad0d0e7423c46ff	false
corrected-race-events	restore-qualification/race/corrected-2/events.json	2601390d86323d6ec09058ab15500bf3b98970c217014f82b44d2431285d52b5	false
confirmation-sequence	restore-qualification/inputs/confirmation-sequence.meta	b443c8297b0230d0a8a2878e7db828074b255b7b797a59683a883cd9a3b17adc	false
causal1-result	causal-current-assumptions/normal/run.result.meta	08784ff7d8cc6ea21542470f873eda2e15ef1987f9d9e9185521f377396da038	false
causal2-result	causal-omit-restore-dispatch/normal/run.result.meta	befff57dbfac30f1c8a8592ea5e726e06cab82ee206044b68845741c4cf14dc7	false
native-result	closed-native-refusal/RESULT.json	ddc3830dbd255a16c9382a28589abf8e4b5ffe55f4baea42cdd5e4eb6665799f	false
native-closure	closed-native-refusal/CLOSURE.json	11b80c5a4d4f9f1aa0166cb400105e21e3b04f4da87740c621691302e2f9a5ec	false
