scope	prebody_head	postbody_head	prebody_status	postbody_status	binary_sha256	binary_pre_post	listed_roots	expected_roots	body_exit	owner_exit	converter_stderr_bytes	finished_at	note
original-4f59-normal	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	clean	clean	5e08e4e2c8981ff58197b00d4f462c68af3aff8d68ba6ca6768059b2dde4443e	identical	100	100	1	1	0	2026-09-14T13:44:28Z	candidate-failure-retained
original-4f59-race	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	clean	clean	c0df9f690b5aad09112c24e6ab24071a892987a74bdbf16fc04911b5e81f4e11	identical	100	100	1	1	0	2026-09-14T13:51:59Z	candidate-failure-retained
original-4f59-runtime455-manifest	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	clean	clean	5e08e4e2c8981ff58197b00d4f462c68af3aff8d68ba6ca6768059b2dde4443e	identical	2	2	1	1	0	2026-09-14T13:45:26Z	candidate-failure-retained
fdff-archive-wire-diagnostic	fdfffaec577de0c112b27671f92a169d4a36e26b	fdfffaec577de0c112b27671f92a169d4a36e26b	clean	clean	2ad7eb92d9d0613872a149fba35936be831f824a5fd8af0529f1c9f77bf1dfa1	identical	1	1	1	1	0	2026-09-14T13:59:05Z	diagnostic-failure-retained
final511-normal-p1	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	9b0b4e63c585fafaaa6fe529ce1eda8cf54a92623aaaf852367a707de9c3870b	identical	8	8	0	0	0	2026-09-14T14:07:05Z	candidate-pass
final511-race-p1	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	94be0f4056e43dd5c50bb5a84a17d8cacdf68e99a6b5bfd937ef0eb0cc4e2504	identical	8	8	0	0	0	2026-09-14T14:11:01Z	candidate-pass
final511-normal-p2	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	9b0b4e63c585fafaaa6fe529ce1eda8cf54a92623aaaf852367a707de9c3870b	identical	5	5	0	0	0	2026-09-14T14:08:23Z	confirmation-pass
final511-normal-p3	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	9b0b4e63c585fafaaa6fe529ce1eda8cf54a92623aaaf852367a707de9c3870b	identical	5	5	0	0	0	2026-09-14T14:10:23Z	confirmation-pass
final511-race-p2	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	94be0f4056e43dd5c50bb5a84a17d8cacdf68e99a6b5bfd937ef0eb0cc4e2504	identical	1	1	0	0	0	2026-09-14T14:13:44Z	confirmation-pass
final511-race-p3	511a09e8c9fad91be09c49ad31327a05c6648568	511a09e8c9fad91be09c49ad31327a05c6648568	clean	clean	94be0f4056e43dd5c50bb5a84a17d8cacdf68e99a6b5bfd937ef0eb0cc4e2504	identical	1	1	0	0	0	2026-09-14T14:16:57Z	confirmation-pass
causal-4f59-normal	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	4f59d3f30f59ba612c67b266e0d1310b9c155ed3	 M sim-testnet/evm.go; M sim-testnet/precompile_probe_successor_calls.go;prebody_diff_check_exit=0;b3bbcaded04b614684b0c21667706a29a1cf8f10acf6121878727735dac04fcc  /home/by/urnetwork/temp/sn-precompile-cumulative-causal-20260914/terra-runtime/capture-original-probe-and-nonce-normal-20260914T140308Z/inputs/CAUSAL-original-probe-and-nonce.patch;fe4df591a63393edc37e3cc4912dc81cedc45abda152e98810cc967da6be777e  /home/by/urnetwork/temp/sn-precompile-cumulative-causal-20260914/terra-runtime/capture-original-probe-and-nonce-normal-20260914T140308Z/inputs/causal.applied.diff	 M sim-testnet/evm.go; M sim-testnet/precompile_probe_successor_calls.go;postbody_diff_check_exit=0;b3bbcaded04b614684b0c21667706a29a1cf8f10acf6121878727735dac04fcc  /home/by/urnetwork/temp/sn-precompile-cumulative-causal-20260914/terra-runtime/capture-original-probe-and-nonce-normal-20260914T140308Z/inputs/CAUSAL-original-probe-and-nonce.patch;fe4df591a63393edc37e3cc4912dc81cedc45abda152e98810cc967da6be777e  /home/by/urnetwork/temp/sn-precompile-cumulative-causal-20260914/terra-runtime/capture-original-probe-and-nonce-normal-20260914T140308Z/inputs/causal.applied.diff	41875188ecace88ed74721ef5377f32e73e769919464eeb7309da8f7d68c4d92	identical	4	4	1	1	0	2026-09-14T14:06:19Z	authorized-disposable-expected-2fail-2pass
