test	origin
TestPrecompileBatteryRejectsEveryFailedCustodyCheck	deferred-battery-adjacent-root
TestPrecompileProbeSuccessorAcceptsExactRefinalization	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorAuthenticatesOriginalReceiptFiles	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorConstructsOriginalNativeReplay	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorKeepsCoreExecutableChecks	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorNeverResendsNativeDrill	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorPinsSingleCreateBoundary	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorPreservesNativeEvidenceIdentity	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorPublishesSignedBaselineIdentity	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRebindsOnlyUnstartedPhases	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRejectsActionDrift	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRejectsCallPrefixDrift	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRejectsChangedCallProof	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRejectsDescriptorDrift	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRejectsEvidenceSubstitution	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorReplaysOriginalWritePhase	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRequiresFailedUnfundedHistory	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRerendersAfterValuePhases	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRerendersObservedCreateNonce	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorResumesFinalizedCallBeforeEvidenceWrite	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRetiresCreateGasOnce	Astra-probe-successor-source-census
TestPrecompileProbeSuccessorRoutesCurrentContractView	Astra-probe-successor-source-census
