test	normal_terminal	race_terminal
TestPrecompileBatteryRejectsEveryFailedCustodyCheck	pass	pass
TestPrecompileProbeSuccessorAcceptsExactRefinalization	pass	pass
TestPrecompileProbeSuccessorAuthenticatesOriginalReceiptFiles	pass	pass
TestPrecompileProbeSuccessorConstructsOriginalNativeReplay	fail	fail
TestPrecompileProbeSuccessorKeepsCoreExecutableChecks	pass	pass
TestPrecompileProbeSuccessorNeverResendsNativeDrill	pass	pass
TestPrecompileProbeSuccessorPinsSingleCreateBoundary	pass	pass
TestPrecompileProbeSuccessorPreservesNativeEvidenceIdentity	pass	pass
TestPrecompileProbeSuccessorPublishesSignedBaselineIdentity	pass	pass
TestPrecompileProbeSuccessorRebindsOnlyUnstartedPhases	pass	pass
TestPrecompileProbeSuccessorRejectsActionDrift	pass	pass
TestPrecompileProbeSuccessorRejectsCallPrefixDrift	pass	pass
TestPrecompileProbeSuccessorRejectsChangedCallProof	pass	pass
TestPrecompileProbeSuccessorRejectsDescriptorDrift	pass	pass
TestPrecompileProbeSuccessorRejectsEvidenceSubstitution	pass	pass
TestPrecompileProbeSuccessorReplaysOriginalWritePhase	pass	pass
TestPrecompileProbeSuccessorRequiresFailedUnfundedHistory	pass	pass
TestPrecompileProbeSuccessorRerendersAfterValuePhases	pass	pass
TestPrecompileProbeSuccessorRerendersObservedCreateNonce	pass	pass
TestPrecompileProbeSuccessorResumesFinalizedCallBeforeEvidenceWrite	pass	pass
TestPrecompileProbeSuccessorRetiresCreateGasOnce	pass	pass
TestPrecompileProbeSuccessorRoutesCurrentContractView	pass	pass
