field	value
author_base	e982b3fbd74f76c8afe79cd8ef7067b19b044238
author_candidate	c736a772a0f8680ae8c07df4ae26bc3d6cfeaae7
formatter_successor	0a94b7d0b2362fe6bdff798be49c3f9eb3013bfa
root_integration	7b8baa2a650d3ee3be826e865f27ad3baa13215d
final_locked_source	7eab04905dbc274ae6d2546b6802f1097c1fc3fe
production_file	sim-testnet/precompile_probe_successor.go
production_sha256	1352e88f79d3a6045844773758eeb3fc992d8981c0bb16a1caa82e327e576d61
test_file	sim-testnet/precompile_probe_approval_test.go
test_sha256_before_gofmt	98f152732a3d703db41f91121cf0893bf0435f32efb5eb0a269df1e5e95add07
test_sha256_after_gofmt	d964f1bd21a7403d18c2a49e8584c817ce044b0ee3985d790132cf636c82befd
qualification_source_manifest_sha256	269922bc1528eac4ae26492b10a2b97566d494211e5379b66f5c2127da068c88
qualification_tracked_file_count	5941
final_cli_sha256	feb8890a60efff80cada37a9015b8edeb2d49f20476b1e7ee2c9d4c0a3176b9e
final_cli_result_sha256	9179f1d205f111fc066ca63c619400e410feda447d58599083aef332837cec96
final_cli_source_pair_sha256	05d8d9d50e2904ccaeef66a8ffea9f693d8a06e340423a66eb2032c1a473b109
final_cli_build_exit	0
final_cli_outer_exit	0
final_cli_vcs_revision	7eab04905dbc274ae6d2546b6802f1097c1fc3fe
