projection	component	identity	clean
foundry-lib	forge-std	bf647bd6046f2f7da30d0c2bf435e5c76a780c1b	true
foundry-lib	openzeppelin-contracts	5fd1781b1454fd1ef8e722282f86f9293cacf256	true
foundry-lib	openzeppelin-contracts-upgradeable	7bf4727aacdbfaa0f36cbd664654d0c9e1dc52bf	true
go-replacement	connect	2a0f603e8076224fdab4d9f56e5a0a557ed513d9	true
go-replacement	server	0f095a639e111f71d231cd6f792a191cbc6b0a69	true
go-replacement	warp	7498864c7cd3605aad3c43eabfab9008ed7f7228	true
go-replacement	operator-proxy	448369740c70eb2e642bde9d36f3708fe9ad4b5d	true
go-replacement	proxy	6204ae7df2a9868bbb3a7b61231917a36e4f5c9f	true
go-replacement	userwireguard	85fb1ca4086fa5dbfcda526bec7a17a894e691b9	true
go-replacement	sdk	0dc2fb0f6f8a7e484e96bbdde09a690ae108dc8b	true
go-replacement	glog	892ade4a6be396b32ea82a550f243190b5992180	true
go-replacement	goidenticons	325750b38314313dc5f44c880abf12f6c1ecb3c	true
