suite	passed	failed	skipped
ClaimsTest	9	0	0
DeploymentPolicyTest	5	0	0
EpochLifecycleTest	21	0	0
GovernanceTest	10	0	0
HeadBindingTest	13	0	0
RegistrationTest	7	0	0
ReleaseBindingPolicyTest	17	0	0
ReleaseChainIDPolicyTest	1	0	0
ReleaseDepositsTest	19	0	0
ReleaseInvariantTest	2	0	0
ReleaseSettlementTest	17	0	0
ReleaseSettlementMinimumsTest	11	0	0
SP1ProbeTest	19	0	0
STFleetBatcherTest	13	0	0
STSubnetTest	8	0	0
ValidatorEvidenceTest	13	0	0
ValidatorEvidenceActivationTest	15	0	0
ValidatorEvidenceStorageTest	15	0	0
TOTAL	215	0	0
