record	origin_label	sha256	copied	scope
astra-handoff	external author handoff	631054953dea840cd305b8148a69cfb4e18ea3a0cb6c4c1484e20c6adb24813a	false	author root-cause and adjacent review
original-producer-strict-build	closed producer solidity log	600c34837a084106bdb7ce5b61688b0e271c7f1b8d9877bde3b50062618086f0	false	original lint-only failure
formatter-terminal	formatter check capture	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	formatter result
strict-build-p1-terminal	corrected strict build capture	e8577e781b103221c26b6669dda183f6d6699b18094b41c2352ade4c13cae147	false	p1 strict build
full-project-terminal	full project Forge summary capture	6e6b2f91e5daf54f2601bdd785daf8503a69a12fa9897791e1e16f796b13a949	false	18-suite project result
compiled-root-list	SP1Probe compiled list capture	e355a61010cc2926a2a0da76402c775754ea78911742208cf929488337f1aa49	false	compiled membership
lint-p2-terminal	fresh direct lint capture	f2312ea982b9a35792c15561a08e797d69c2b005a188335e7bfe48387ec1e58f	false	p2 confirmation
lint-p3-terminal	fresh direct lint capture	284a330deefac5eae79e5d883e1e3e525c8961a17a056adc20c4e5603449a15c	false	p3 confirmation
uncredited-cached-lint-terminal	cached direct lint observation	ebe83663236b4ed5f022b5a7ca1ab749d1980765e47d5347b77a686aa1f21c3c	false	uncredited observation
causal-terminal	causal direct lint capture	2db55847f2a23534c62b152c3bc1609b88504823c9dd5cacd06a37319b9aa4fc	false	expected lint failure
gencontracts-initial-admission	first generation capture	4e2787b9e31bf6728e02f4697e142581edf14ff598af031c966225d1ce4618a7	false	missing src sidecar
gencontracts-src-only-admission	second generation capture	557f5be58fc0a651a4751118f775d7e4d9b44e478c36f651319cca19f1a3780a	false	missing lib sidecar
gencontracts-final-terminal	final generation capture	0803d002b3be648253cbebfadde50cde3353f42b3275b2e752dc5b5eae372aef	false	generation success
stabi-mode-admission	first stabi capture	c5ab03d04971902cc748c127b2ddde637ea58479d19529772f66c766b0e3ad47	false	filesystem mode refusal
stabi-final-terminal	final stabi capture	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	false	binding freshness success
causal-patch	causal patch outside candidate	b3f3850d6f925e6e04b3944e79d46fad8749a669eef1b3f7fca7bdb038d4c136	true	declared causal mutation
