record	capture_root	relative_locator	sha256	note
original-producer-strict-build	/home/by/urnetwork/temp/sn-probe-approval-anchor-correction-20260914/terra-runtime/producer-probe-approval-anchor-7eab	tmp/urnetwork-release-gate.svAon5Ti/logs/solidity.log	600c34837a084106bdb7ce5b61688b0e271c7f1b8d9877bde3b50062618086f0	closed original strict-lint failure
formatter-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	fmt/terminal	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	closed formatter result
strict-build-p1-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	build-p1/terminal	e8577e781b103221c26b6669dda183f6d6699b18094b41c2352ade4c13cae147	corrected strict build
full-project-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	test/full-project/terminal	6e6b2f91e5daf54f2601bdd785daf8503a69a12fa9897791e1e16f796b13a949	closed project summary
compiled-root-list	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	roots/list.terminal	e355a61010cc2926a2a0da76402c775754ea78911742208cf929488337f1aa49	compiled 19-root list
lint-p2-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	lint-p2-actual/terminal	f2312ea982b9a35792c15561a08e797d69c2b005a188335e7bfe48387ec1e58f	credited p2 direct lint
lint-p3-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	lint-p3-actual/terminal	284a330deefac5eae79e5d883e1e3e525c8961a17a056adc20c4e5603449a15c	credited p3 direct lint
causal-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	causal-original-unsafe-assertion/terminal	2db55847f2a23534c62b152c3bc1609b88504823c9dd5cacd06a37319b9aa4fc	expected causal lint refusal
gencontracts-final-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	generation/gencontracts-final-artifact-layout/terminal	0803d002b3be648253cbebfadde50cde3353f42b3275b2e752dc5b5eae372aef	final generated-payload check
stabi-final-terminal	/home/by/urnetwork/temp/sn-probe-reference-lint-correction-20260914/terra-runtime/sp1probe-reference-lint-qualification-20260914T170620Z	generation/stabi-after-mode-readmission/terminal	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	final binding freshness check
