phase	start_pid	exit	raw_log_basename	outer_start_line	outer_join_line
isolation-regressions	3001528	0	isolation-regressions.log	30	59
compile	3001596	0	compile.log	32	35
runtime	3001696	0	runtime.log	34	41
evidence-native	3017495	0	evidence-native.log	36	38
seed	3017860	0	seed.log	39	44
sim-seed	3018797	0	sim-seed.log	42	56
evm-identity	3019513	0	evm-identity.log	45	47
driver	3020995	0	driver.log	48	50
framing	3023646	0	framing.log	51	53
settlement	3030588	0	settlement.log	54	82
adversarial	3041749	0	adversarial.log	57	61
semantic	3046779	0	semantic.log	60	67
semantic-public-scenario	3047332	0	semantic-public-scenario.log	62	63
semantic-fleet-projection	3081853	0	semantic-fleet-projection.log	64	65
semantic-runtime-configs	3107138	0	semantic-runtime-configs.log	66	69
semantic-build-artifacts	3110638	0	semantic-build-artifacts.log	68	74
semantic-pool-registration	3117317	0	semantic-pool-registration.log	70	72
capture	3126749	0	capture.log	73	78
capture-evidence	3130717	0	capture-evidence.log	75	76
capture-renewal	3139272	0	capture-renewal.log	77	80
capture-revision	3144596	0	capture-revision.log	79	84
capture-lifecycle	3144948	0	capture-lifecycle.log	81	86
capture-private	3148035	0	capture-private.log	83	88
capture-prior	3151080	0	capture-prior.log	85	91
capture-population	3151303	0	capture-population.log	87	93
capture-metadata	3153914	0	capture-metadata.log	89	110
solidity	3160798	1	solidity.log	92	95
evidence-simulator	3164595	1	evidence-simulator.log	94	98
evidence-simulator-slow	3188489	0	evidence-simulator-slow.log	96	102
server-unit	3200406	0	server-unit.log	99	100
connect	3207443	0	connect.log	101	112
sdk	3207627	0	sdk.log	103	105
operator-proxy	3211338	0	operator-proxy.log	106	108
server-db	3217172	0	server-db.log	109	116
server-history-shared	3219545	0	server-history-shared.log	111	114
server-history-distinct	3221682	0	server-history-distinct.log	113	115
