repo	root	head	status_hex	manifest	manifest_sha256
sn	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/sn	02ba4c743d812a35248b28f070a9e839358d22ab		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/sn-02ba4c7.source.manifest	8e26a5b238eee49f46c490d2f82ae501842302d9bb190c1d66b835fd4fff7bb7
server	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/server	93bc8c592797da0335f4201c5027a2b52906790e		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/server-93bc8c.source.manifest	295095d0584dfd2135f456e3b4e904b65ee8b51c38c656285ae59a1fc839adef
operator-proxy	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/operator-proxy	448369740c70eb2e642bde9d36f3708fe9ad4b5d		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/operator-proxy-448369.source.manifest	10a77366b3ef2707df2b2c15290bc62df41269715f182042b090518340499099
connect	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/connect	2a0f603e8076224fdab4d9f56e5a0a557ed513d9		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/connect-2a0f603.source.manifest	f4b5f507b3ce13f407ffbb192c254ac5e00389e04a14fabe4b6877ddf0d2f5d6
sdk	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/sdk	0dc2fb0f6f8a7e484e96bbdde09a690ae108dc8b		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/sdk-0dc2fb0.source.manifest	9775b2dc6a568729ab71ab121b52116936d4c43e3601e845d00784a0a8f497cb
glog	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/glog	892ade4a6be396b32ea82a550f243190b5992180		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/glog-892ade.source.manifest	1c952039433b900066a3189fed1f2de2eccf9ae0e71d297dc26787a4aca2fac7
goidenticons	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/goidenticons	325750b38314313dc5f44c880ab6f12f6c1ecb3c		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/goidenticons-325750.source.manifest	a2d90bafd815ef38f787ab8a5d73ebb0f3f560140cc0ae5fc3edfd889e11a777
proxy	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/proxy	6204ae7df2a9868bbb3a7b61231917a36e4f5c9f		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/proxy-6204ae7.source.manifest	68bbf89548a7ded492f9909af3f5cb27f5ccac50c927f12463f3992a1810b12a
userwireguard	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/userwireguard	85fb1ca4086fa5dbfcda526bec7a17a894e691b9		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/userwireguard-85fb1c.source.manifest	1fe8fdb68cca012d0c4ad4ca2da64b196f9c402964d0474e9ad22a9fbeb2b451
warp	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/warp	7498864c7cd3605aad3c43eabfab9008ed7f7228		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/warp-7498864.source.manifest	2167b6d623d57e864e446d6098a052e20c4771740bae2af36d8b49217563654a
vault	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/vault	8b2f481dbe87092d0c1742274712a6f805c1c375		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/vault-8b2f481.source.manifest	ed52ef8748bf4116b4133a5700f01d010a69f8ab8c9db9b86b124a84a1dc92d2
xops	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/xops	a9d2eb4bfbdf72d61243908a71659adff0fb8160		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/xops-a9d2eb.source.manifest	2fa707c3a3396cb3a8ef6af349eb702a690c2c03ba84390f7850783b53454725
config	/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/workspace-physical/config	268f11b7e7d9c43eda3fd6f34447d26c2f0c21dc		/home/by/urnetwork/temp/sn-warp-admission-integration-20260913/runtime/qualification-warp-admission-v1/custody/config-268f11.qualification.source.manifest	7e1175b569ce4de60b1c9a2e064e46dc40867a656d8d77537913482b71740749
